,cos_cluster,js_cluster,wb_cluster
OH_HD_RAO_1,0,3,0
OH_HD_BEL_39,3,2,1
KA_HD_WIN_2,0,0,0
OH_HD_RCB_1,1,1,2
OH_HD_CAM_82,2,0,3
OH_HD_CAM_85,0,3,0
BS_HD_GRO_7,1,1,2
KA_HD_LON_2,3,2,1
OH_HD_GRO_2,2,0,3
KA_HD_RCB_28,1,2,2
BS_HD_GRO_8,1,1,2
KA_HD_RCB_30,2,2,3
OH_HD_CAM_84,2,0,3
BS_HD_GRO_6,0,3,0
KA_HD_RCB_29,0,2,0
KA_HD_MAR_2,0,0,0
BS_HD_GRO_9,1,1,2
OH_HD_WIO_1,2,2,3
KA_HD_MAR_5,2,2,3
OH_HD_BEL_2,3,2,1
OH_HD_GRO_37,2,2,3
OH_HD_BEL_38,3,2,1
BS_HD_GRO_1,0,0,0
OH_HD_GRO_1,0,3,0
OH_HD_CAM_3,3,2,1
OH_HD_CAM_86,1,1,2
KA_HD_LON_1,3,2,1
BS_HD_GRO_4,0,3,0
OH_HD_RAO_2,2,0,3
OH_HD_RCB_2,2,0,3
BS_HD_GRO_3,0,3,0
OH_HD_CAM_81,1,1,2
KA_HD_WIN_1,0,3,0
BS_HD_GRO_10,1,1,2
OH_HD_BEL_1,3,2,1
OH_HD_WIO_2,3,2,1
BS_HD_GRO_2,0,3,0
OH_HD_CAM_80,1,1,2
OH_HD_CAM_2,1,1,2
OH_HD_CAM_87,0,3,0
BS_HD_GRO_5,0,3,0
KA_HD_MAR_1,1,1,2
OH_HD_BEL_33,2,0,3
