,cos_cluster,js_cluster,wb_cluster
OH_HD_RAO_1,2,2,1
OH_HD_BEL_39,0,1,0
KA_HD_WIN_2,2,2,2
OH_HD_RCB_1,1,0,1
OH_HD_CAM_82,0,1,2
OH_HD_CAM_85,2,2,1
BS_HD_GRO_7,1,0,1
KA_HD_LON_2,0,1,0
OH_HD_GRO_2,0,1,2
KA_HD_RCB_28,1,1,0
BS_HD_GRO_8,1,0,1
KA_HD_RCB_30,2,1,0
OH_HD_CAM_84,2,1,2
BS_HD_GRO_6,2,2,1
KA_HD_RCB_29,2,1,0
KA_HD_MAR_2,2,2,2
BS_HD_GRO_9,1,0,1
OH_HD_WIO_1,0,1,0
KA_HD_MAR_5,0,1,0
OH_HD_BEL_2,0,1,0
OH_HD_GRO_37,0,1,2
OH_HD_BEL_38,0,1,0
BS_HD_GRO_1,2,2,2
OH_HD_GRO_1,2,2,1
OH_HD_CAM_3,0,1,0
OH_HD_CAM_86,1,0,1
KA_HD_LON_1,0,1,0
BS_HD_GRO_4,2,2,2
OH_HD_RAO_2,0,1,2
OH_HD_RCB_2,0,2,2
BS_HD_GRO_3,2,2,1
OH_HD_CAM_81,1,0,2
KA_HD_WIN_1,2,2,1
BS_HD_GRO_10,1,0,1
OH_HD_BEL_1,0,1,0
OH_HD_WIO_2,0,1,0
BS_HD_GRO_2,2,2,1
OH_HD_CAM_80,1,0,2
OH_HD_CAM_2,1,0,1
OH_HD_CAM_87,2,2,1
BS_HD_GRO_5,2,2,2
KA_HD_MAR_1,1,0,1
OH_HD_BEL_33,0,2,2
